segment,function,a,b,c,R2
accompany_car,power_function,134565920.34006256,5.40853051057432,0.8070872964772445,0.9996741765605724
accompany_car,exponential_function,225703.21947839932,0.5563599578254138,0.718104625690709,0.9992861648622509
accompany_car,lognormal_function,1062426.2444424403,1.2863213273202287,0.7699304457319642,0.999556722756388
accompany_no_car,power_function,9040183.703209007,5.113472222107184,0.6705203297904794,0.9978971846881681
accompany_no_car,exponential_function,4482.02130403641,0.41663974694612455,0.5905612917658382,0.9977442599367742
accompany_no_car,lognormal_function,33646.31634548541,1.0748156104876982,0.64004462730929,0.9978553034567115
business_car,power_function,442330210.07248557,9.999999999999998,0.9757754753869141,0.9897904171127364
business_car,exponential_function,1150377315.1017444,3.916462329710159,0.9845788644201896,0.9926407004523602
business_car,lognormal_function,765921776.431192,5.8842218449873585,0.9847397765886274,0.9926724075327246
business_no_car,power_function,57828834.47690789,9.524212196021198,0.9768866465537629,0.9622274484979859
business_no_car,exponential_function,600336.7669327317,2.1424129340513933,0.9738619634915089,0.9660395457953007
business_no_car,lognormal_function,866915.4093823554,3.4588269793651794,0.9750177754063964,0.9648671626323373
buy/execute_car,power_function,9999999999.878292,9.276652022747331,0.9313260083956428,0.9997808282847533
buy/execute_car,exponential_function,47544411.94447862,1.8475611652659747,0.9145506331411605,0.9995025056473914
buy/execute_car,lognormal_function,94777877.33513068,3.135720682365194,0.921339892817702,0.9996270018749149
buy/execute_no_car,power_function,9999999999.999994,9.53803613800218,0.9188332357443801,0.9987229960587578
buy/execute_no_car,exponential_function,12934120.965999328,1.741368746965874,0.9171979105208021,0.9991318536972873
buy/execute_no_car,lognormal_function,67146687.20753323,3.218025357217129,0.9226923892973022,0.999106288031336
commuting_car,power_function,365077059.7820054,6.580745794785215,0.9672223280442246,0.9944827325315903
commuting_car,exponential_function,3790978.2543252795,1.1988235309937572,0.9661145054393353,0.9945511250411957
commuting_car,lognormal_function,7367922.186646661,2.0772734145085145,0.9664290578660566,0.9947076925804093
commuting_no_car,power_function,9540219.54680382,9.999999999999995,0.9844877193969277,0.8988461107988853
commuting_no_car,exponential_function,9999999999.999949,6.426498912589054,0.993794393391008,0.9153293103079239
commuting_no_car,lognormal_function,7002090060.314995,9.999999999999508,0.9950311791887123,0.9171170088419741
education_car,power_function,2449791578.948284,9.999999999999998,0.9552485383550297,0.9932609971503398
education_car,exponential_function,9999999999.999697,3.9176978711037482,0.97248205839749,0.9989793255421782
education_car,lognormal_function,9999999999.999998,6.053070113717346,0.9726805433720253,0.9988930495814115
education_no_car,power_function,403836571.29789686,9.999999999999998,0.9463025604355995,0.994693763529542
education_no_car,exponential_function,6891206.186618791,2.446540565546021,0.9494408458895125,0.9944482392897186
education_no_car,lognormal_function,12716845.64544111,4.006340359072991,0.950416833100781,0.9947358645464869
leisure_car,power_function,5879058720.484554,9.999999999999998,0.9608052362214183,0.9985322922466878
leisure_car,exponential_function,97462556.97302604,2.394055194682439,0.95439402524832,0.9986662040942197
leisure_car,lognormal_function,121719314.11956966,3.8090477936245417,0.9567937604404724,0.9986606860346057
leisure_no_car,power_function,368195519.12999004,9.999999999999998,0.9648683986737662,0.9943642090296598
leisure_no_car,exponential_function,418012615.7422911,3.622064532663714,0.9743988057270796,0.9971891734547869
leisure_no_car,lognormal_function,367504462.64437956,5.547947232550725,0.9747193227063664,0.9972732162750073
