urbanisation,purpose_model,car_avail,0
1,accompany,0,0.0156795546918543
1,accompany,1,0.19796298981587637
1,business,0,0.018381124845890218
1,business,1,0.07983383753958347
1,buy/execute,0,0.14810722114918212
1,buy/execute,1,0.574954910996845
1,commuting,0,0.10860964280057395
1,commuting,1,0.39646105146054295
1,education,0,0.035237038572393416
1,education,1,0.11732652475899177
1,leisure,0,0.16469753541999688
1,leisure,1,0.574568378605672
2,accompany,0,0.0038653043857886037
2,accompany,1,0.22781797469210424
2,business,0,0.002900447450785311
2,business,1,0.07898470220630549
2,buy/execute,0,0.03093190152870892
2,buy/execute,1,0.7771933017226296
2,commuting,0,0.01840842378495955
2,commuting,1,0.44915485047920894
2,education,0,0.0037082671452003707
2,education,1,0.14716746164574906
2,leisure,0,0.028002241414454596
2,leisure,1,0.662976927087791
3,accompany,0,0.0010450816660710813
3,accompany,1,0.22567829999209368
3,business,0,0.0025026096731549045
3,business,1,0.07812215525694591
3,buy/execute,0,0.032977507685583225
3,buy/execute,1,0.7979086290935304
3,commuting,0,0.010830833818901379
3,commuting,1,0.46720042785360033
3,education,0,0.001800367564962373
3,education,1,0.15314260742421362
3,leisure,0,0.021797287557042286
3,leisure,1,0.5801006956382759
