index,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DE111_0,15795941.532114582,75216036.21133801,26226806.081955694,88379734.62993258,3864203.7606506087,27816319.998039782
DE112_0,3580837.9030005047,17261005.732870724,5303635.8854881115,17655463.413082425,697940.6971331559,5343921.209229472
DE112_1,548336.7079763828,10183898.563192114,787262.816887549,10313813.55008343,123419.0635173514,3477918.1265917853
DE112_2,306062.1927956257,5813556.653020198,421469.70440585027,5574374.9430149505,69542.50578206778,1866324.1354172064
DE112_3,306779.4661614037,5851195.413925669,420898.8830309122,5635378.590127296,69556.1476615251,1874111.9431617486
DE112_4,294073.13552435354,5556055.217642119,402943.4794798964,5296828.759497335,66251.60199250391,1767329.579821285
DE112_5,464607.8423574304,8825453.906109046,665242.8222758853,8813365.355479246,108087.14883884713,2967559.03040709
DE112_6,154757.81452168542,2959130.9741820963,201127.52530803913,2663797.717352605,35841.148313520476,880887.1271200083
DE113_0,747649.3202743187,14007518.8294628,1108816.0230574782,14588603.61912463,175400.65852365858,4966484.161191014
DE113_1,4038865.5185993575,19720573.740509935,6034613.630930671,20437329.078564826,802471.9766449628,6194097.490109197
DE113_2,277096.25506463356,5175038.921012384,375304.24678421,4899855.3753068615,61315.68796797669,1635234.35130162
DE113_3,602893.722054723,11186653.827202056,877167.3304159986,11388113.052139513,137440.89693974418,3864115.2200053465
DE113_4,673159.2107603721,12391839.003516138,982703.0036910813,12749257.722973503,151921.78978357246,4332106.527521308
DE113_5,328779.779908461,6167816.764831563,455793.089288803,5917116.791311716,73713.29670944774,1989596.0320253263
DE113_6,408392.14872999315,7680596.921718074,573040.2561458759,7564127.936446635,91847.46195981842,2538678.3764931685
DE114_0,2825586.563583013,13625884.591848806,4058735.319756807,13677862.002388218,518221.0494488045,4108645.6123845275
DE114_1,532084.0442851646,9883349.333997995,757724.478499728,9960088.739711473,117953.1628338384,3365480.228244409
DE114_2,311601.19979637035,5949665.255059272,425609.5856814306,5727780.626442298,69860.16814459376,1913931.0703274554
DE114_3,132367.54634556704,2572847.8853756306,167748.2111530999,2281380.220892865,30892.752985681127,760169.2963819074
DE114_4,34942.77806005336,949251.2505781952,40700.97846957329,765172.5242180809,9271.271786756062,249735.47705981365
DE114_5,94073.03813242467,1821304.0436522278,115869.1076992353,1566501.1874172878,22726.726529216023,518617.657673511
DE114_6,138495.5614570214,2650689.190132041,175193.1384720631,2354705.995262023,31748.03674208182,785187.5857021521
DE115_0,3612256.6376983104,18381460.165141806,5404123.25354362,19050524.331561424,751868.7565502097,5733006.738701027
DE115_1,863826.3037078162,16888351.813473612,1311242.7786205965,18012969.45989791,218596.44618020026,6134538.162226288
DE115_2,1408670.3217989649,7253159.224751441,1945594.8318666944,6930116.181458017,270383.1515891185,2031595.9817343634
DE115_3,465883.72336079925,9097013.193361133,670339.3945948875,9101156.290472813,111276.70553971313,3069197.0734369685
DE115_4,503318.4823899552,9765693.470356196,725496.5093111859,9855743.6002572,118922.25418560434,3339851.4725242145
DE115_5,1565096.317104894,7772152.809551922,2182191.3293438484,7375285.449642813,293330.8206768705,2194553.530630891
DE115_6,1192752.4777587685,5983076.198171148,1618741.5811717766,5576861.023111721,220986.49715726185,1637851.70645684
DE115_7,66312.79405447685,1337898.515648018,80542.26021386067,1116087.5776456536,17177.60787632497,369878.4440419031
DE116_0,4038193.0276585333,20078884.27166393,6048159.418750627,20858863.28127274,815122.1721361928,6317049.027564878
DE116_1,524075.90479312016,9804035.645858543,749436.3620331839,9866756.351350125,117742.56239871161,3343756.465161431
DE116_2,700101.9027552463,13624529.00234659,1042116.1544334682,14204336.227454642,172132.0524876177,4812635.278335385
DE116_3,172467.83882455385,3334293.376746305,224102.0014270046,3023843.776559411,39406.806014599046,1012304.3651471287
DE116_4,116048.21983608115,2273788.23525286,147250.10342267033,2014424.7328991704,27991.383361929522,657321.767637786
DE116_5,1612951.9898038025,8141529.105625099,2241302.110014719,7772153.16674695,302166.49869453005,2306037.9700832204
DE116_6,154944.67512285107,2960552.7702162936,199341.13661057464,2672439.091677256,35539.273404648535,881656.4064786807
DE117_0,3254584.203470805,16313744.118608816,4840944.669027925,16576563.36838355,669401.4545232948,5008652.220557593
DE118_0,545068.4423272539,10669302.35220425,798310.4039199103,10735681.439779034,131900.06492980424,3668610.5461651576
DE118_1,365559.81019490655,7136794.384833805,514920.5401741697,6936071.1660583615,85705.8996966545,2346732.422865906
DE118_2,342696.44861481496,6525301.231522201,479493.3038908955,6383406.316351038,79748.19255502087,2114360.938528485
DE118_3,122807.5692610677,2413277.153439586,158031.78117170956,2115400.5858901055,29408.333207082775,702556.2812172862
DE118_4,246214.15366051756,5053792.103440465,338137.5683712131,4805296.8694771845,60314.03340242803,1598627.428404767
DE118_5,404750.85496232624,7902286.9193298165,577166.8938157505,7733700.604046241,96020.32949186071,2632589.207427053
DE118_6,186581.69528600134,3921555.474050336,249080.01364180827,3693431.837877462,46267.81410883398,1214277.7700929325
DE118_7,237653.47024431473,4527073.381270228,323422.2644825574,4284227.06779826,55415.508229232924,1409004.1263587943
DE118_8,987710.6959585072,4940208.033033182,1328093.7205402632,4488892.352775099,182434.71191347792,1320095.772318242
DE119_0,370376.78112392785,7554094.776590589,525989.3941157295,7492470.449120435,91625.71991913443,2507777.6898005763
DE119_1,251777.1880769242,5082769.072837574,342818.08175091277,4775581.2565074805,59460.97198268152,1613068.6153191878
DE119_2,134481.62780896787,2794008.7430282226,174208.42254026912,2505786.7068246184,33217.243808956984,831924.4825213049
DE119_3,93224.46892467178,2649184.5033195964,119622.56981349076,2349186.243927508,22484.855549030617,781426.3218093865
DE11A_0,144696.99285184877,4016806.81252417,193283.69003658823,3671309.7325294046,33690.579444342206,1235250.847838388
DE11A_1,464245.3185943014,8916098.128427638,669519.3439330248,8882533.967797473,110303.33270437406,3001730.9654085287
DE11A_2,117017.71524283686,3231486.0258797584,154037.15464269384,2917639.2808127133,27624.207481567748,969259.5882342919
DE11A_3,384179.80455130845,7372727.402304394,547595.9177169449,7212663.499992355,91045.11672740956,2430077.850188975
DE11A_4,63173.718763532044,1789924.201329865,78299.99578207279,1515493.365422206,15561.273577163109,508678.80643218115
DE11A_5,52218.85199322283,1450897.5453024565,64189.995701551554,1213407.252052567,13137.361496905996,399238.72687549965
DE11A_6,175420.80755239102,3383169.833621804,231299.9443363243,3074142.4701523716,40614.11528232002,1020255.6907246137
DE11A_7,37033.59457287705,1057729.7549238708,43568.022276669704,859474.0996697616,9879.482211157941,285079.4684996208
DE11B_0,337655.0257446781,6787949.834043952,480125.9150305324,6532696.285939857,82790.61302804232,2221388.779567714
DE11B_1,73637.03098072235,2060086.985486926,93485.58027675425,1767120.5697703513,17874.547998319587,589117.2269707728
DE11B_2,227790.0010574977,4397131.15473921,311648.27716332575,4090000.285148417,53449.57298284987,1363825.5301546177
DE11B_3,52948.45826425768,1536089.2985347267,65285.700647532016,1290408.6348109136,13595.386622693652,427415.8880758808
DE11B_4,253726.05053439122,5036395.912703353,349651.49028326693,4724700.964704062,60390.500488952945,1590693.2093683837
DE11B_5,24011.64442497155,644825.6153507909,27653.613934429497,503383.0232475462,6825.00140002955,162878.35254005447
DE11B_6,28770.504442615198,828534.0067551133,33441.5984141104,650359.4174720962,8010.590085972333,218678.5057866165
DE11C_0,171230.1768541056,3239645.9329998805,223812.1921067589,2936863.8089836594,39012.05614124657,972485.3106792019
DE11C_1,265023.49252579466,4998359.982230707,360450.7216429136,4731765.793018636,59995.67032721635,1572748.8403686923
DE11C_2,111000.00061209057,2116607.394574935,139768.9640574227,1849167.975027129,26253.973102776814,609680.517218273
DE11C_3,440026.2002788419,8478521.863129478,626441.7700842588,8454763.049426954,103163.15727090026,2850121.001727211
DE11C_4,43609.806508419264,1208707.0908777334,51718.47407284375,996748.5171187524,11198.852354276753,329480.76752777083
DE11C_5,27868.18889521996,761349.7795935232,31783.47049532157,603804.7293574604,7780.658429697275,195898.80498227166
DE11D_0,410469.0879745545,7890508.583837643,583879.5218723639,7792354.329926755,96330.95895455423,2621893.5929647274
DE11D_1,334033.19550727145,6391365.3025658615,464704.66274514986,6199070.532693046,76942.83338365592,2069900.0420943454
DE11D_2,194183.56415704632,3745347.9863340375,257290.5289222555,3467174.074957137,44967.97319338117,1139029.5386033922
DE11D_3,541052.486679338,10272443.192360029,782296.1881806786,10399864.163880631,125668.6154789623,3523061.47454687
DE11D_4,687055.9132541262,13216946.008794699,1020858.9361215573,13730744.04057737,167458.36061846573,4664380.334272811
DE11D_5,170982.6552122131,3331846.2382205375,223628.30567290148,3023941.779992211,39623.12248298362,1011093.1990582705
DE11D_6,51922.26661005933,1427105.9745913292,63037.41923882411,1197795.4310028402,12994.959519977236,391520.3375050127
DE11D_7,94754.5542116555,1790246.5520508143,116484.43548837579,1538487.0833197278,22608.77050840716,505243.6856679107
DE121_0,444614.3565276512,8427778.707581326,624696.9557406579,8431546.838305559,99900.57774776092,2840101.000611281
DE122_0,7800009.0161156645,38424510.77790051,12345829.720026344,42145731.49807778,1734870.91082587,13133460.466009352
DE123_0,791216.2239609245,14773396.084134603,1187546.6733310258,15585952.032909123,191602.9969278393,5281750.952907578
DE123_1,582537.7969220789,11339339.388083225,847939.85622016,11452736.645129843,137001.387389915,3955766.736488155
DE123_2,498254.4550263429,9449752.076261872,720345.5398421541,9568685.80501953,117884.9924353075,3204119.7287473916
DE123_3,226797.48829539833,4289885.041803291,306159.6605319902,4032576.765456705,52217.306406761,1329007.598486987
DE123_4,316643.3498668221,5915990.063996979,437290.3446085499,5729047.564796199,71719.9834894278,1900460.8218313362
DE123_5,273025.5355820409,5396911.370859051,371676.1594107168,5099347.127333735,62907.8756449337,1733651.7508378087
