,errands_car,errands_no_car,shopping_car,shopping_no_car,commuting_car,commuting_no_car,education_car,education_no_car,leisure_car,leisure_no_car,accompany_car,accompany_no_car,business_car,business_no_car
83110000,3.105162671812448,3.9260835927533986,3.8291273662918313,3.958047937189706,2.589797564300456,1.3862943611198906,3.129957337610706,2.5379630804231166,2.1025706073963373,1.6062413526483008,3.5293559275777056,,1.9869539931234497,1.7566304328732902
66330026,2.709110914208881,,3.086197740093166,,2.6435736944528663,,2.6481042516952265,,1.7624611093777094,,4.259810525841189,,,
82220000,3.6317908276364466,5.6202063415217065,4.495865141591093,6.135570093112938,2.877732309610696,1.3862943611198906,3.2688374608041,2.4051926761506928,2.1851378560450834,1.7796553281360543,3.8663235611915345,2.7147499393881893,1.9978843456160884,
91620000,3.2661003561549498,3.814802393209701,3.9466599202220474,5.237444113943194,2.5613299793298387,1.3862943611198937,3.004960683900669,2.5492278747735826,2.1156296062941267,1.6782542430077194,3.557805072041423,2.7556215688892625,1.9423663945381786,1.9526318319416356
31590017,3.5471997824818886,,3.806480154942067,,3.346147672245865,,4.812430145750872,,2.086408319014744,,4.400621625350746,,1.8452767686478402,
130750005,6.297579844610633,,8.662517792003106,,,,,,2.8956591537148633,,6.0093935693198794,,,
53340002,3.689036597860148,4.575939686093625,4.910449677719211,6.363666312867614,2.788785916769659,1.3862943611198906,3.5393745818020514,1.8947558468846748,2.231917841503261,1.6216414003048718,3.888564435035703,3.2418670710931634,2.0580036136247846,1.5409908617040313
81365007,3.7448420231984136,,4.481503846766727,,2.8492499017334287,,3.0696546794486546,,2.13897047806406,,3.3873281999011575,,,
57740032,3.4671757618935874,4.309818228855384,4.369232930854319,,2.8422891970383777,1.3862943611198906,3.3435885453141028,,2.0734501540928574,1.7711757586513261,3.608282512887679,,1.8566700106636964,
59780020,3.7627585352795743,4.390643430341704,4.386130783669025,,2.663610565875913,,2.6610949972380817,,2.138486519960895,,3.4941100491852692,,,
59780004,4.528894848495354,,5.871058169839311,,2.9110473534885446,,4.048526509984249,,2.352986180730586,,4.849995262857957,,,
120600269,3.9412129281381594,,5.197090894031855,,4.039008481896326,,2.8815313341859983,,2.224796105787079,,4.104332405848242,,,
84355002,3.1541732095191124,4.986868892600577,4.305544869325076,6.969869779631709,2.9050973870789285,1.3862943611198906,3.1552280077356887,,2.1140200127329813,1.7851522709680983,3.698821940110077,,1.9246810696053611,2.1803916345352703
95640000,3.363662467844035,3.9050580514754754,4.201775482731268,5.021992222729931,2.674026310129238,1.3862943611198897,3.1309034441409587,2.4164617652178078,2.111478918768218,1.6523750336934206,3.735807249074732,2.709740860294632,1.9983246030833648,1.5653535258886841
146120000,3.303977239561675,3.7657464042539113,3.983623292605935,4.986526661308081,2.7305859272818,1.3862943611198906,3.1741326453950123,,2.1370545445578992,1.6263716990563168,3.963929471022906,3.057105676589558,2.0599517203637556,
53150000,3.6011831313100044,4.068402397442956,4.355696381840402,4.942039325243642,2.756389251145031,1.3862943611198923,3.184679474574753,2.4544156933394707,2.1869186668910023,1.6714041773439465,3.7657401041825627,3.0846008202844937,1.9953635854996437,1.9338732249575674
91760139,6.090047078432489,,8.579725166965785,,4.306820474157869,,,,2.785211321249527,,5.884639017559792,,,
120720002,5.087524460884445,,8.115709837762916,,3.4173873904381376,,,,2.8493358394406427,,4.8841309660940295,,2.334623418441618,
55620032,3.0026047593988534,,4.932503582491097,,2.8817948604068615,,,,2.3163560935235497,1.5525950754869875,3.6335736814186514,,2.003790965368205,
40110000,3.4991653738308357,4.424846762678714,4.561823709282899,5.6572614211389265,2.9061513385207567,1.3862943611198906,3.693640869122599,2.5242736035011677,2.2601168986819875,1.6558971109237042,3.8526847259712103,2.354012349403185,2.0469991386653845,1.9853513161750418
59660004,3.4137198907329225,,5.395771011209621,,2.839508331208372,,3.0119354622775316,,2.1282200876073545,,3.3107981226861627,,,
33550022,3.3839910210082316,3.540782513096506,4.7167749577657165,5.483621360156266,3.192714791182903,1.3862943611198906,3.0689124031468036,2.342174238776278,2.1043584385136467,1.547529586953972,3.969851664682724,,1.9409767173299965,2.2790051859859717
130040000,3.602468460041165,4.440143681240956,4.478853859583487,7.419856525877681,3.202761042651176,1.3862943611198906,2.903770520060043,3.157959338482775,2.161063161744329,1.7430656574588483,4.0018162202840895,3.2494602632972898,1.9039619809445263,1.940712984646227
64120000,3.2588257360912176,3.957824411051112,4.034825769308641,5.394700754384185,2.5479335393003977,1.3862943611198915,2.938071899528738,2.261119339764763,2.0832019921597094,1.6179837540339597,3.7442343100687223,2.669811859723791,1.9561476764158794,1.8280474558938389
64140000,3.365716111721056,5.0420369817076365,4.300017322272319,5.784228475310479,2.6723221444238714,1.3862943611198906,3.3249140716818046,3.275190232274673,2.155556673585238,1.8206607958422534,3.825031465718361,3.4799526353398615,1.9173890416068526,
20000000,3.6338296979187246,4.238918072166739,4.474097689915448,5.688931489553068,2.7442685432082294,1.3862943611198937,3.2454894946260073,2.456331972281768,2.2274199513174415,1.7286990716237667,3.8315736368721343,2.8215170095073656,2.053728214018922,2.0008568560014828
66350015,4.0869603681105104,,5.208165549603668,9.984846616228166,3.3158866950667707,,3.6863689991241015,,2.3543704185723424,,3.646310545890147,,1.8062955606054238,
96750141,3.2985358638148097,,4.341498872730269,,3.3193333051230316,,2.8146281236160737,,2.0234559870443185,1.7001993835184135,4.042434064381806,,,
57110000,3.626634548549185,3.9310740122145456,4.584377053501898,5.9107618951958285,2.744822166177064,1.3862943611198906,2.6986562066475996,2.0731436402560437,2.233011270851018,1.9092136455435573,3.7172889602761656,3.186708743487536,1.9899255846710393,
120680320,3.3191201029658384,,4.666406959477644,,3.4036243206191568,,2.428503848960912,,2.19218267644287,,3.8348915373723202,,2.8193138866638194,
32410020,2.8909412688791933,,4.121166791553232,,2.9132535836684834,,3.640822344675461,,2.1171475698758466,,3.062933696045386,3.504786486394638,,
53140000,3.1810670958248006,3.2394956458241326,3.9301415787527145,5.380042660338379,2.643748433777232,1.386294361119889,2.943540184370849,1.9113412478170986,2.0869100797579994,1.688672513240989,3.5172857625205705,3.3020246294344786,1.9328248586535883,1.8250233287763364
160710003,3.833980713613944,,4.031071713253237,,3.0845947139949623,,4.5917542122297,,2.1019091202968587,,4.239026875296946,,2.169132227886353,
81210000,3.0249671324905822,3.1655934250566315,3.572048756613537,,2.7092139872007484,1.3862943611198906,2.864774739433444,2.6035119480169024,2.0536161114796925,,3.3617031055427593,,1.7774738132314887,
93610000,3.2837606329103757,2.720833384353941,4.30430462795816,,3.210696504432429,,2.7918238089197707,,1.979012813725254,,3.5475890836074355,,1.9799923793140926,
91750115,4.0992227548645035,,4.066943444402402,,2.6907156784522024,,2.647614467782571,,1.989701881442498,,3.579044597613463,,1.7738660692472734,
82150017,2.7357704811542,,3.0859532694377187,,3.5288082002995407,,,,2.116661535482949,,,,2.6476468956112447,
91730118,6.503963274156763,,8.821883045588581,,3.8598064999818633,,5.24950681570654,,,,4.70660895354679,,,
