index,education_many,education_few,shopping_many,shopping_few,leisure_many,leisure_few,accompany
10010000,177,40,413,8,219,23,228
10020000,412,130,959,96,540,38,595
10030000,456,38,958,67,657,45,570
10040000,150,0,262,28,137,9,198
10510011,37,1,50,2,34,5,35
10510044,41,1,133,23,42,7,81
10515163,46,0,49,0,61,7,37
10515166,38,0,43,1,55,2,29
10515169,28,0,28,0,52,5,30
10515172,40,0,42,1,35,3,25
10515175,87,1,82,0,92,16,72
10515178,22,0,78,1,100,15,19
10530032,34,0,100,12,72,4,57
10530083,19,0,49,1,34,2,20
10530090,27,0,82,2,66,7,37
10530100,15,0,58,3,55,3,23
10530116,21,0,54,3,39,1,31
10530129,10,0,30,2,17,1,12
10535308,10,0,22,0,21,0,9
10535313,3,0,11,0,21,0,4
10535318,15,0,51,2,51,3,22
10535323,23,0,35,0,46,0,24
10535343,4,0,6,0,18,2,4
10535358,15,0,34,1,96,5,22
10535373,12,0,7,0,31,0,9
10535391,15,0,22,0,40,1,17
10539105,0,0,0,0,4,0,0
10540033,11,0,17,3,23,2,12
10540056,79,2,166,12,132,5,93
10540108,6,0,1,0,5,0,2
10540138,8,0,30,0,41,2,12
10540168,52,0,250,20,152,11,54
10545417,17,0,128,2,103,7,31
10545439,6,0,50,3,79,5,6
10545453,8,0,15,0,19,1,9
10545459,7,0,18,0,36,14,8
10545488,32,0,160,14,156,11,33
10545489,92,1,161,1,147,10,84
10545492,35,0,44,0,77,10,32
10545494,51,1,74,4,64,5,51
10550001,32,0,33,0,17,0,15
10550004,20,0,55,5,34,2,37
10550007,2,0,8,0,21,0,5
10550010,0,0,53,1,30,0,2
10550012,34,2,118,4,51,5,49
10550016,12,0,67,2,69,3,14
10550018,4,0,13,0,11,0,3
10550021,8,0,119,33,49,0,49
10550025,3,0,32,0,32,1,2
10550028,11,0,30,7,72,4,22
10550032,46,1,116,7,88,3,66
10550033,59,1,91,11,34,4,70
10550035,24,0,30,1,33,2,21
10550040,18,0,40,0,19,1,18
10550041,9,0,6,0,20,1,7
10550042,19,0,82,1,92,4,29
10550044,14,0,81,0,86,6,15
10550046,26,0,159,3,137,10,30
10555543,20,0,42,3,99,11,22
10555546,34,3,35,0,25,2,26
10555591,6,0,29,0,60,5,6
10560002,14,0,24,0,28,3,14
10560005,19,0,35,0,8,0,14
10560015,80,8,279,12,89,6,119
10560018,20,1,44,0,21,0,24
10560021,5,0,10,0,15,0,6
10560025,15,0,52,1,67,4,17
10560039,29,0,111,12,50,1,70
10560041,40,0,132,2,64,3,45
10560043,9,0,44,0,17,2,10
10560044,16,1,55,2,30,1,17
