index,amenity college,amenity school,amenity university,building school,building university,craft,amenity kindergarten,building retail,amenity marketplace,shop bakery,shop beverages,shop butcher,shop convenience,shop greengrocer,shop department_store,shop mall,shop supermarket,shop clothes,shop shoes,shop garden_centre,shop doityourself,shop hardware,amenity clinic,amenity doctors,amenity pharmacy,amenity post_office,building hospital,amenity bar,amenity biergarten,amenity cafe,amenity pub,amenity arts_centre,amenity cinema,amenity community_centre,amenity events_venue,amenity nightclub,amenity theatre,amenity public_bath,leisure beach_resort,leisure marina,leisure nature_reserve,leisure park,leisure sports_centre,leisure stadium,leisure swimming_pool,leisure water_park,tourism aquarium,tourism attraction,tourism camp_site,tourism caravan_site,tourism hostel,tourism hotel,tourism theme_park,tourism zoo,water lake
10010000,3,40,2,73,37,39,65,97,2,46,5,4,15,4,3,6,43,93,23,1,4,0,2,45,18,10,0,4,2,48,40,7,2,10,4,3,5,0,0,11,1,47,19,3,6,1,0,4,0,3,5,16,0,1,0
10020000,7,71,7,212,123,103,97,337,4,105,5,8,23,4,6,6,104,110,27,2,12,6,9,124,59,29,75,38,3,102,57,6,7,18,8,11,8,0,0,13,4,141,85,3,8,0,1,5,2,5,3,40,0,5,5
10030000,8,94,5,147,30,138,171,253,9,98,13,13,39,4,3,14,103,149,28,7,12,6,7,103,42,82,40,28,12,100,85,11,3,21,3,5,20,0,0,35,10,129,91,2,29,5,0,14,6,9,5,73,1,0,5
10040000,0,34,0,119,0,15,16,63,1,25,6,3,1,1,4,5,36,62,14,3,5,3,1,9,24,5,19,0,3,18,11,1,1,4,0,1,3,0,0,1,4,38,14,2,5,0,0,20,1,1,3,9,0,2,4
10510011,1,5,0,6,0,19,12,6,1,5,1,0,2,0,1,1,5,7,4,1,1,0,0,10,3,3,1,1,0,3,5,0,1,2,0,0,1,0,0,2,0,3,6,1,2,2,0,0,1,2,0,5,0,0,2
10510044,0,12,1,10,1,18,11,38,1,15,1,1,6,1,1,1,11,15,4,1,3,1,0,27,5,3,21,5,0,7,7,0,1,6,0,2,3,0,0,0,0,4,5,2,1,1,0,2,0,1,1,1,0,0,0
10515163,0,7,0,9,0,25,12,11,2,9,1,1,0,0,0,0,7,1,0,1,2,0,0,9,2,3,0,0,0,5,4,1,0,10,1,1,1,0,0,0,2,10,15,2,4,2,0,1,4,1,0,4,0,0,0
10515166,0,5,0,10,0,20,8,4,1,8,1,2,0,0,0,1,7,6,0,1,2,0,0,6,3,2,0,0,0,5,12,1,0,6,0,0,0,0,1,1,1,5,7,0,1,0,0,3,1,5,0,8,0,0,0
10515169,0,6,0,11,0,9,8,1,0,7,0,1,2,0,0,0,5,1,0,0,0,0,0,5,3,3,0,0,0,5,5,0,0,8,0,0,0,0,0,2,7,0,6,0,8,5,0,0,5,1,0,4,0,0,1
10515172,0,8,0,5,0,24,8,18,1,5,0,0,1,0,0,0,4,4,2,0,0,1,0,4,0,3,0,0,0,3,4,0,0,4,1,0,0,0,0,0,5,4,6,0,6,2,0,0,0,0,0,3,0,0,0
10515175,1,18,0,17,0,52,17,6,2,12,3,2,5,0,0,0,10,7,2,1,2,0,0,19,4,7,0,0,1,9,9,2,1,16,3,0,2,0,4,2,4,13,17,1,9,3,0,1,3,3,1,4,0,0,0
10515178,0,5,0,7,0,10,5,17,2,10,0,0,2,0,1,0,10,22,6,1,1,1,0,2,3,1,0,4,2,13,6,1,0,8,1,0,0,0,9,0,3,3,10,0,3,2,1,3,11,2,2,28,1,0,2
10530032,0,10,0,13,0,7,14,27,1,12,3,1,2,0,1,2,16,9,6,0,3,0,4,10,6,3,6,3,0,16,5,0,1,3,0,0,2,0,0,5,5,7,13,0,5,1,0,2,0,1,1,6,0,0,0
10530083,0,3,0,4,0,10,5,16,1,5,1,0,0,1,1,0,6,4,0,0,1,0,1,7,3,3,0,0,0,5,2,0,0,2,1,0,1,0,0,2,2,1,5,0,5,0,0,3,0,1,2,4,0,0,0
10530090,0,8,0,14,0,3,10,23,1,13,2,1,1,1,1,0,12,12,4,1,1,0,1,3,4,2,1,3,2,7,2,1,1,3,0,1,0,0,0,2,2,5,7,1,0,2,1,17,1,1,1,10,0,1,2
10530100,0,9,0,4,0,3,3,20,0,5,1,2,2,0,0,0,10,4,1,1,1,1,0,5,5,1,2,1,4,7,3,0,1,1,1,0,0,0,0,9,3,8,3,0,1,1,0,2,4,1,2,2,0,0,4
10530116,0,7,0,6,0,5,9,11,1,8,0,1,2,0,0,1,8,6,3,0,2,0,1,7,4,1,1,0,0,4,2,0,1,3,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,2,0,0,0
10530129,0,4,0,5,0,2,3,10,0,4,1,0,0,0,0,1,6,2,2,1,1,1,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,1,1,0,0,1
10535308,0,2,0,1,0,3,5,7,0,3,1,1,1,0,1,0,2,0,0,3,0,0,0,1,1,1,0,1,1,3,1,0,0,2,0,0,0,0,0,0,1,9,2,0,0,0,0,0,1,0,0,0,0,0,0
10535313,0,1,0,1,0,0,2,4,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,2,4,0,3,0,0,0,1,0,0,1,0,0,0
10535318,0,4,0,5,0,5,5,15,1,9,1,3,4,0,0,0,4,2,1,0,1,1,0,7,2,1,1,0,0,4,3,1,0,2,0,0,0,0,0,3,9,1,2,1,6,1,0,1,9,0,1,0,0,0,10
10535323,0,4,0,5,0,6,12,4,0,6,1,2,2,1,0,0,5,0,0,2,0,0,0,3,4,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,3,11,13,0,4,0,0,2,0,0,0,5,0,0,3
10535343,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,5,1,2,0,2,1,0,0,3,0,0,2,0,1,0
10535358,0,3,0,5,0,3,7,9,0,3,2,1,2,0,0,0,2,2,0,3,0,0,0,6,1,3,1,0,7,12,0,0,0,8,0,0,2,0,0,1,19,3,7,0,3,3,0,5,10,0,4,7,0,0,10
10535373,0,2,0,0,0,4,6,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,3,5,0,5,0,0,0,0,0,1,7,0,0,3
10535391,0,2,0,4,0,2,9,0,1,5,1,2,2,0,0,0,3,1,1,0,0,0,0,2,2,2,0,0,1,5,1,0,0,5,0,0,0,0,0,0,5,5,7,0,2,1,0,0,3,0,2,1,0,0,3
10539105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
10540033,0,6,0,0,0,2,3,2,1,2,0,1,0,0,0,0,4,2,1,0,1,1,1,1,1,1,1,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,3,1,2,1,5,0,0,0
10540056,2,16,0,37,0,35,7,25,1,18,4,2,3,1,1,1,21,42,10,1,8,1,1,21,5,3,9,1,1,15,11,3,1,1,0,0,0,0,1,1,2,7,19,0,2,0,0,54,1,2,5,10,0,0,0
