,root,Fz1,Fz2,Fz3,Fz4,Fz6,root,Fz1,Fz2,Fz3,Fz4,Fz6,root,Fz1,Fz2,Fz3,Fz4,Fz6,root,Fz1,Fz2,Fz3,Fz4,Fz6
,all,all,all,all,all,all,PT,PT,PT,PT,PT,PT,air,air,air,air,air,air,car,car,car,car,car,car
0,4.27,4.12,3.86,3.95,4.54,3.46,3.86,3.82,2.57,5.58,3.75,4.0,19.16,19.16,19.16,19.16,24.47,15.83,3.88,3.78,3.53,4.22,4.53,3.46
1,4.319999999999999,4.19,3.888,4.1770000000000005,4.757,3.618,3.883,3.8579999999999997,2.67,5.892,3.889,4.024,19.16,19.16,19.16,19.16,24.47,15.83,3.999,3.916,3.588,4.537,4.742,3.618
2,4.369999999999999,4.26,3.916,4.404,4.974,3.776,3.9059999999999997,3.896,2.77,6.204,4.028,4.048,19.16,19.16,19.16,19.16,24.47,15.83,4.118,4.052,3.646,4.854,4.954000000000001,3.776
3,4.42,4.33,3.944,4.631,5.191,3.934,3.929,3.934,2.87,6.516,4.167,4.072,19.16,19.16,19.16,19.16,24.47,15.83,4.237,4.188,3.7039999999999997,5.170999999999999,5.166,3.934
4,4.47,4.4,3.972,4.858,5.408,4.092,3.952,3.972,2.9699999999999998,6.827999999999999,4.306,4.096,19.16,19.16,19.16,19.16,24.47,15.83,4.356,4.324,3.762,5.4879999999999995,5.378,4.092
5,4.52,4.470000000000001,4.0,5.085,5.625,4.25,3.9749999999999996,4.01,3.07,7.14,4.445,4.12,19.16,19.16,19.16,19.16,24.47,15.83,4.475,4.46,3.8200000000000003,5.805,5.59,4.25
6,4.569999999999999,4.54,4.028,5.311999999999999,5.8420000000000005,4.4079999999999995,3.9979999999999998,4.048,3.17,7.452,4.584,4.144,19.16,19.16,19.16,19.16,24.47,15.83,4.594,4.596,3.878,6.122,5.8020000000000005,4.4079999999999995
7,4.619999999999999,4.61,4.056,5.539,6.059,4.566,4.021,4.086,3.27,7.763999999999999,4.723,4.168,19.16,19.16,19.16,19.16,24.47,15.83,4.713,4.731999999999999,3.936,6.439,6.014,4.566
8,4.67,4.680000000000001,4.084,5.766,6.276,4.724,4.044,4.1240000000000006,3.37,8.076,4.862,4.192,19.16,19.16,19.16,19.16,24.47,15.83,4.832,4.867999999999999,3.994,6.756,6.226000000000001,4.724
9,4.72,4.75,4.112,5.993,6.493,4.882,4.067,4.162,3.4699999999999998,8.388,5.0009999999999994,4.216,19.16,19.16,19.16,19.16,24.47,15.83,4.9510000000000005,5.004,4.0520000000000005,7.073,6.438000000000001,4.882
10,4.77,4.82,4.14,6.22,6.71,5.04,4.09,4.2,3.57,8.7,5.14,4.24,19.16,19.16,19.16,19.16,24.47,15.83,5.07,5.14,4.11,7.39,6.65,5.04
11,4.965999999999999,5.005,4.2299999999999995,6.428,6.873,5.17,4.231,4.295,3.6689999999999996,8.793999999999999,5.268,4.3420000000000005,19.16,19.16,19.16,19.16,24.47,15.83,5.26,5.316,4.21,7.617999999999999,6.821000000000001,5.17
12,5.162,5.19,4.319999999999999,6.636,7.036,5.3,4.372,4.390000000000001,3.768,8.888,5.396,4.444,19.16,19.16,19.16,19.16,24.47,15.83,5.45,5.492,4.3100000000000005,7.846,6.992,5.3
13,5.358,5.375,4.41,6.844,7.199,5.43,4.513,4.485,3.867,8.982,5.524,4.546,19.16,19.16,19.16,19.16,24.47,15.83,5.640000000000001,5.668,4.41,8.074,7.163,5.43
14,5.554,5.5600000000000005,4.5,7.0520000000000005,7.362,5.56,4.654,4.58,3.9659999999999997,9.076,5.652,4.648,19.16,19.16,19.16,19.16,24.47,15.83,5.83,5.844,4.510000000000001,8.302,7.334,5.56
15,5.75,5.745,4.59,7.26,7.525,5.6899999999999995,4.795,4.675000000000001,4.0649999999999995,9.17,5.779999999999999,4.75,19.16,19.16,19.16,19.16,24.47,15.83,6.02,6.02,4.61,8.53,7.505,5.6899999999999995
16,5.946,5.93,4.68,7.468,7.688,5.82,4.936,4.7700000000000005,4.164,9.264,5.9079999999999995,4.852,19.16,19.16,19.16,19.16,24.47,15.83,6.21,6.196,4.710000000000001,8.758,7.676,5.82
17,6.142,6.115,4.77,7.676,7.851,5.95,5.077,4.865,4.263,9.358,6.036,4.954,19.16,19.16,19.16,19.16,24.47,15.83,6.4,6.372,4.8100000000000005,8.986,7.8469999999999995,5.95
18,6.338,6.3,4.86,7.884,8.014,6.08,5.218,4.96,4.362,9.452,6.164,5.056,19.16,19.16,19.16,19.16,24.47,15.83,6.59,6.548,4.91,9.214,8.017999999999999,6.08
19,6.534000000000001,6.485,4.95,8.092,8.177,6.21,5.359,5.055000000000001,4.460999999999999,9.546000000000001,6.292,5.1579999999999995,19.16,19.16,19.16,19.16,24.47,15.83,6.779999999999999,6.724,5.010000000000001,9.442,8.189,6.21
20,6.73,6.67,5.04,8.3,8.34,6.34,5.5,5.15,4.56,9.64,6.42,5.26,19.16,19.16,19.16,19.16,24.47,15.83,6.97,6.9,5.11,9.67,8.36,6.34
21,6.845000000000001,6.778,5.132,8.422,8.437,6.4159999999999995,5.583,5.206,4.678999999999999,9.695,6.502,5.319,19.16,19.16,19.16,19.16,24.47,15.83,7.0809999999999995,7.003,5.168,9.803,8.460999999999999,6.4159999999999995
22,6.96,6.886,5.224,8.544,8.534,6.492,5.666,5.2620000000000005,4.798,9.75,6.584,5.378,19.16,19.16,19.16,19.16,24.47,15.83,7.192,7.106,5.226,9.936,8.562,6.492
23,7.075,6.994,5.316,8.666,8.631,6.568,5.749,5.3180000000000005,4.917,9.805,6.666,5.436999999999999,19.16,19.16,19.16,19.16,24.47,15.83,7.303,7.2090000000000005,5.284000000000001,10.068999999999999,8.663,6.568
24,7.19,7.102,5.408,8.788,8.728,6.644,5.832,5.3740000000000006,5.036,9.86,6.748,5.4959999999999996,19.16,19.16,19.16,19.16,24.47,15.83,7.414,7.312,5.3420000000000005,10.202,8.764,6.644
25,7.305,7.21,5.5,8.91,8.825,6.72,5.915,5.43,5.154999999999999,9.915,6.83,5.555,19.16,19.16,19.16,19.16,24.47,15.83,7.525,7.415,5.4,10.335,8.864999999999998,6.72
26,7.42,7.318,5.5920000000000005,9.032,8.922,6.795999999999999,5.998,5.486,5.274,9.97,6.912,5.614,19.16,19.16,19.16,19.16,24.47,15.83,7.636,7.518,5.458,10.468,8.966,6.795999999999999
27,7.535,7.426,5.684,9.154,9.019,6.872,6.081,5.542,5.393,10.025,6.994,5.673,19.16,19.16,19.16,19.16,24.47,15.83,7.747,7.6209999999999996,5.516,10.600999999999999,9.067,6.872
28,7.65,7.534,5.776,9.276,9.116,6.9479999999999995,6.164,5.598,5.512,10.08,7.0760000000000005,5.731999999999999,19.16,19.16,19.16,19.16,24.47,15.83,7.858,7.724,5.574000000000001,10.734,9.168,6.9479999999999995
29,7.765,7.642,5.868,9.398,9.213000000000001,7.024,6.247,5.654,5.631,10.135,7.158,5.7909999999999995,19.16,19.16,19.16,19.16,24.47,15.83,7.969,7.827,5.632000000000001,10.867,9.268999999999998,7.024
30,7.88,7.75,5.96,9.52,9.31,7.1,6.33,5.71,5.75,10.19,7.24,5.85,19.16,19.16,19.16,19.16,24.47,15.83,8.08,7.93,5.69,11.0,9.37,7.1
31,7.981,7.845,6.077,9.628,9.398,7.167,6.4030000000000005,5.759,5.911,10.238,7.3180000000000005,5.903,19.16,19.16,19.16,19.16,24.47,15.83,8.177,8.020999999999999,5.742,11.117,9.459,7.167
32,8.082,7.9399999999999995,6.194,9.735999999999999,9.486,7.234,6.476,5.808,6.072,10.286,7.396,5.9559999999999995,19.16,19.16,19.16,19.16,24.47,15.83,8.274000000000001,8.112,5.7940000000000005,11.234,9.548,7.234
33,8.183,8.035,6.311,9.844,9.574,7.300999999999999,6.5489999999999995,5.857,6.2330000000000005,10.334,7.474,6.0089999999999995,19.16,19.16,19.16,19.16,24.47,15.83,8.371,8.203,5.846,11.350999999999999,9.636999999999999,7.300999999999999
34,8.284,8.129999999999999,6.428,9.952,9.662,7.367999999999999,6.622,5.906,6.394,10.382,7.552,6.061999999999999,19.16,19.16,19.16,19.16,24.47,15.83,8.468,8.294,5.898000000000001,11.468,9.725999999999999,7.367999999999999
35,8.385,8.225,6.545,10.059999999999999,9.75,7.435,6.695,5.955,6.555,10.43,7.63,6.115,19.16,19.16,19.16,19.16,24.47,15.83,8.565000000000001,8.385,5.95,11.585,9.815,7.435
36,8.486,8.32,6.662,10.168,9.838,7.502,6.768,6.0040000000000004,6.716,10.478,7.708,6.168,19.16,19.16,19.16,19.16,24.47,15.83,8.662,8.475999999999999,6.002,11.702,9.904,7.502
37,8.587,8.415,6.779,10.276,9.926,7.569,6.840999999999999,6.053,6.877000000000001,10.526,7.786,6.221,19.16,19.16,19.16,19.16,24.47,15.83,8.759,8.567,6.054,11.818999999999999,9.993,7.569
38,8.688,8.51,6.896,10.384,10.014,7.635999999999999,6.914,6.102,7.038,10.574,7.864,6.274,19.16,19.16,19.16,19.16,24.47,15.83,8.856,8.658,6.106,11.936,10.081999999999999,7.635999999999999
