index,shopping_no_car,shopping_car,errands_no_car,errands_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
10010000,1077521.92558847,13101171.529442556,1123984.5315580892,13355358.26494739,1170213.7877096047,21359729.08129371,161575.0105561672,7488456.024866648
10020000,3566026.875684798,31347119.886055615,4317614.936206591,28696793.338835306,8710176.149373587,56647756.456210434,616414.5635021381,21552335.25743568
10030000,3121287.573890864,27437643.96302351,3779140.853120822,25117854.5708016,7623881.010773238,49582895.60888721,539538.0305581993,18864422.106870864
10040000,957361.9483637634,11640192.93103951,998643.2716675464,11866034.00449909,1039717.2671841125,18977796.52012336,143556.95530600817,6653380.019425017
10510011,33031.89744583388,1930797.0230877954,68387.83920797198,1719629.4894356178,75401.48063017942,2789397.0048612766,4711.712150258514,1207541.434692017
10510044,57399.73444061314,3355158.042788845,118837.97520084745,2988210.9010453126,131025.62369293146,4847152.592158244,8187.571623123923,2098352.290873341
10515163,62889.168721808346,2616755.111865024,42798.26754484271,1977785.4876775523,59958.78068632319,3199674.2886472386,8974.021390343487,1175184.7390679524
10515166,53615.28319518225,2230878.054624887,36487.06575897539,1686133.418144257,51117.02176817396,2727837.6643365524,7650.67670668766,1001887.3499584855
10515169,75850.74945347868,3156073.4607445174,51619.074231157494,2385410.946710992,72316.40270985608,3859133.420486095,10823.584758770357,1417392.613327452
10515172,63990.21493012013,2662568.5381283667,43547.56780051967,2012412.0101188687,61008.52246970888,3255693.30296959,9131.136079978749,1195759.5491237252
10515175,93924.90871859674,3908121.064662987,63919.16850173696,2953820.588992163,89548.37720550701,4778710.254858514,13402.691704437431,1755137.1975150425
10515178,52105.3926227547,2168053.025226995,35459.53268777133,1638649.253178775,49677.48616081051,2651017.4719018578,7435.221635974599,973672.6288158268
10530032,161168.3358141198,5053726.52672242,194827.27511792496,4165527.656455654,266589.41718351725,7252027.017365237,52131.19767248986,2592889.453300271
10530083,58555.41494710047,1836111.617747899,70784.32546887128,1513412.663630759,96856.82900945438,2634794.5399098797,18940.221079918414,942044.3357128488
10530090,99731.95928009815,3127277.114514176,120560.31831912162,2577654.180737417,164967.1740093896,4487599.0034928275,32259.106338926493,1604495.9704279792
10530100,75086.03116218156,2354459.17806256,90767.25137634522,1940659.9803840416,124200.21082327086,3378616.0529875206,24287.182176236693,1207990.25011425
10530116,85653.00516950656,2685805.88198085,103541.06790606027,2213772.0792973563,141679.0997612017,3854093.947611307,27705.155117343777,1377992.5977744702
10530129,69262.04059328878,2171837.3529955046,83726.9589571288,1790134.1735429289,114566.7164796046,3116556.2833612934,22403.365469586384,1114293.4104346577
10535308,24400.293624340797,1359990.008641741,28896.12520486216,1033900.882041983,16373.127107737859,1677688.029780085,256.6811845154268,748414.9961649071
10535313,19386.218135248037,1080522.364820474,22958.190385302416,821442.0833647952,13008.573525939455,1332935.8494180788,203.93514565193476,594621.3842635958
10535318,42299.04120838908,2357605.78557745,50092.77386662007,1792315.1535872207,28383.575579169148,2908350.046890311,444.9687437533648,1297412.1234416508
10535323,59261.98207673112,3303062.8547953647,70181.19045375969,2511076.9765314166,39766.07741436617,4074668.9151311293,623.4119961988077,1817705.8346722971
10535343,11212.350834480465,624938.5906187545,13278.26207922288,475095.0786087805,7523.730993399428,770926.2466390021,117.94937953230196,343909.4478115731
10535358,39468.51472261091,2199841.7930977023,46740.71388783634,1672378.7349791308,26484.23081525069,2713731.88055692,415.1927540723612,1210593.148981233
10535373,27404.117650064567,1527413.021069228,32453.413345612236,1161180.346687303,18388.75828577377,1884221.5940522545,288.2801939728184,840549.4180412688
10535391,44950.4935695568,2505388.7907778663,53232.76474470523,1904663.7579568394,30162.75771516623,3090655.6353536295,472.8609463321008,1378738.468905593
10539105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
